CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
C,C,C,B,B,C,B,D,.,A,C,A,C,D,A,A,B,B,A,A,A,D,A,A,A,B,B,A,A,C,D,C,E,C,5,5,5,3,4,5,5,4,3,5,5,5,5,5,4,5,6,6,6,5,5,5,5,5,5,6,6,6,6,5,4,5,5,5,5,5,5,6,5,5,5,6
C,D,C,B,B,C,A,D,D,A,C,A,B,B,E,A,A,A,A,A,B,A,A,A,E,A,B,G,A,B,C,D,E,F,6,6,5,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,5,6,4,4,6,6,5,5,6,4,5,3,4,2,4,4,5,4,1
A,A,A,A,A,B,D,D,B,A,C,A,E,E,B,E,E,B,A,A,A,A,A,A,B,A,B,G,A,A,B,A,E,A,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C,C,C,B,B,B,B,D,B,A,C,A,D,D,B,E,B,B,A,A,A,A,A,A,A,A,B,A,A,B,B,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,5,5,5,5,5,6
C,C,D,B,A,B,E,D,A,A,B,A,F,F,B,E,B,E,C,A,A,F,A,A,B,A,A,A,A,A,B,E,A,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,B,B,B,C,B,D,D,A,C,A,D,D,B,D,E,C,C,A,A,A,A,A,B,A,B,A,B,A,C,E,A,F,4,3,5,4,4,5,3,3,2,3,3,4,5,8,3,4,3,4,4,4,5,4,4,5,4,2,4,5,5,4,4,5,4,2,4,2,5,5,4,4,1,2
C,D,C,B,B,B,B,D,C,A,A,A,E,E,B,C,E,B,C,H,A,F,A,A,B,A,A,C,A,C,D,E,E,A,4,3,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,3,3,5,5,5,5,5
C,C,C,B,A,A,A,D,D,A,A,A,D,E,B,C,B,B,A,A,A,B,A,A,A,B,B,A,A,A,E,A,E,F,4,2,5,4,5,6,5,4,4,6,5,5,5,4,4,6,2,5,1,4,4,4,5,3,1,4,6,5,5,4,5,5,5,6,5,4,4,5,6,5,5,4
B,D,D,A,A,C,D,C,D,A,C,A,C,E,B,F,E,C,D,A,A,A,A,A,B,A,A,A,A,A,D,C,E,C,5,5,6,4,6,6,4,6,4,6,4,5,4,4,5,6,6,6,3,2,4,3,5,5,6,3,5,5,5,5,6,5,5,5,5,3,3,5,6,4,3,3
C,C,C,B,B,C,B,D,B,A,C,A,D,D,B,C,C,C,A,A,A,F,A,A,B,A,B,G,A,B,C,A,E,F,5,3,5,1,4,6,6,4,4,6,4,2,6,6,5,6,6,6,6,6,4,4,6,6,6,1,6,6,4,6,4,6,6,6,6,4,6,2,2,2,5,6
