CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
C,D,B,C,B,B,A,C,C,A,A,A,D,E,B,B,E,C,E,B,A,A,A,A,B,A,B,C,A,B,B,A,A,C,6,6,6,6,6,6,6,6,5,6,6,4,6,6,6,6,6,5,6,8,6,6,6,7,6,6,6,6,5,5,5,6,5,5,5,6,6,6,8,6,6,6
C,C,C,B,B,B,E,D,D,A,A,A,B,B,B,B,B,F,E,H,A,F,A,D,A,A,B,C,B,C,E,A,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,4,5,5,5,6,6,6,6,6,6,6,6,6,5,5,6,5,3,4,6,6,6
C,D,B,B,B,C,B,C,B,A,A,A,B,F,B,B,D,E,E,G,A,F,A,A,A,A,A,C,A,C,C,A,A,B,4,4,5,4,5,6,5,5,5,4,5,4,5,5,4,4,3,2,4,3,4,4,3,7,5,7,2,5,4,4,4,6,3,5,5,4,4,4,2,4,4,4
C,D,B,D,C,E,B,D,D,A,A,A,D,E,B,B,E,C,E,A,A,A,A,A,D,A,B,C,A,B,B,E,H,F,3,5,5,4,4,2,5,6,4,4,4,3,2,1,1,5,4,3,4,8,5,4,5,7,6,4,4,3,2,2,4,6,5,5,6,5,5,5,1,7,1,3
C,C,A,A,B,C,A,C,E,A,D,A,C,B,D,A,D,B,A,A,A,A,A,A,B,A,B,E,A,C,D,E,B,A,4,4,4,5,5,4,5,6,5,5,4,4,5,8,3,6,5,5,5,8,4,8,4,8,8,8,5,5,5,6,6,6,3,5,4,4,5,5,5,6,5,5
C,C,A,D,C,A,D,D,B,A,B,A,C,D,C,D,A,A,A,A,C,A,A,B,A,A,B,K,A,D,D,E,A,A,5,6,4,5,5,6,5,5,6,5,5,6,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E,D,A,C,C,D,B,C,B,A,D,C,D,C,B,D,A,B,A,A,A,A,A,A,E,A,F,G,B,B,B,E,H,A,8,8,3,1,2,3,1,2,2,3,2,2,3,1,8,1,2,2,8,8,8,2,2,1,8,1,1,2,2,3,3,5,3,1,2,2,3,3,3,2,1,4
B,C,C,*,B,B,B,D,B,A,C,A,F,F,D,A,F,B,A,A,A,A,A,A,B,A,B,C,A,A,C,D,H,I,3,3,2,3,3,4,2,2,4,4,3,3,2,6,5,5,6,6,5,6,3,3,3,7,7,7,5,6,3,5,3,6,2,3,2,5,5,2,2,4,5,5
C,D,C,B,B,D,A,A,B,A,A,A,E,E,D,A,E,C,D,A,A,C,A,A,B,A,B,C,A,B,B,E,E,A,4,4,3,2,3,3,3,3,2,4,4,4,3,1,3,4,4,5,4,3,3,4,4,7,7,2,3,2,3,4,4,4,4,3,4,3,4,4,7,4,3,3
A,A,A,D,D,D,B,D,B,A,C,A,C,D,C,B,D,E,A,A,B,B,A,A,D,A,B,C,A,A,D,E,H,A,5,5,4,5,3,5,3,3,3,6,6,5,5,5,5,6,6,6,6,6,5,4,6,6,5,4,6,4,5,5,5,6,3,5,5,5,5,5,6,5,4,5
A,C,C,B,B,B,D,D,B,A,A,A,D,D,B,D,F,C,E,A,A,A,A,A,B,A,B,B,A,B,C,E,E,A,2,1,3,2,4,3,2,2,1,1,2,2,1,1,3,4,1,2,2,1,2,2,2,6,1,1,1,3,3,6,3,5,5,3,6,6,5,4,2,3,2,6
A,A,E,E,E,A,E,E,A,A,A,A,C,E,D,A,B,D,C,A,A,B,A,A,B,B,B,C,A,B,C,E,E,F,3,2,6,4,5,3,5,4,4,3,2,2,3,1,3,6,4,4,3,5,3,2,4,7,5,2,4,2,2,4,3,4,4,4,5,4,4,1,1,3,4,2
C,C,B,B,B,C,D,D,B,B,A,A,D,D,C,B,E,F,E,A,A,A,A,A,A,B,F,G,B,A,C,E,C,F,4,4,5,4,2,5,5,2,5,5,3,3,5,2,3,6,6,6,5,2,4,4,4,8,6,8,8,4,3,6,4,6,6,2,6,6,6,6,3,7,8,2
C,C,C,C,B,A,D,D,B,A,D,A,E,D,B,B,F,D,D,A,A,B,A,A,B,A,B,C,A,C,B,A,C,A,7,3,6,2,2,5,6,6,5,6,4,4,2,6,4,6,5,6,6,3,6,4,5,4,2,5,5,3,5,3,4,5,6,4,6,6,6,6,6,7,1,1
C,D,C,B,B,B,D,D,A,A,A,A,D,D,B,D,E,E,E,A,A,F,A,A,B,B,B,C,B,A,B,D,B,A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
D,E,C,B,B,C,B,D,D,B,A,A,D,C,C,B,D,E,E,A,A,A,A,A,A,A,A,F,A,A,C,E,E,A,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,5,5,6,6,6,6,6,8,4,6,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6
D,D,B,B,B,D,D,C,C,A,B,A,C,D,D,A,D,D,E,A,A,A,A,A,A,B,B,C,A,C,E,E,A,A,4,1,6,1,3,3,5,5,5,5,1,2,6,4,4,6,6,6,6,6,1,1,5,5,6,6,6,1,4,4,4,6,6,4,6,6,6,6,6,6,1,6
C,C,.,B,B,C,D,D,B,A,A,A,E,E,B,D,F,D,A,A,A,A,A,A,B,B,B,C,A,B,C,E,A,F,5,5,4,5,3,5,2,2,3,5,3,5,6,3,4,5,6,6,8,4,6,4,5,6,5,5,5,4,4,4,5,6,4,3,6,6,5,4,3,3,3,5
C,C,C,B,B,C,E,D,D,B,C,A,D,B,C,B,F,F,E,A,A,A,A,A,A,B,A,B,A,B,C,E,E,C,5,5,6,6,6,5,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,2,5,4,5,5,3,3,5,5,6
B,C,B,B,B,D,B,C,C,A,A,A,D,D,B,B,C,C,D,A,A,A,A,A,B,B,B,K,A,A,C,E,C,C,4,3,3,4,5,5,5,4,5,4,4,5,5,4,5,5,5,5,4,4,5,4,3,4,5,5,5,4,5,5,5,6,5,4,5,5,6,5,4,4,4,3
C,C,B,B,B,C,B,D,A,B,A,A,E,E,C,B,E,E,E,A,A,A,A,A,B,A,B,C,A,B,B,E,E,C,5,5,4,4,5,5,5,4,5,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,5,5,4,6,5,5,4,5,5,5,5
E,E,A,E,E,E,A,A,E,A,C,A,D,D,B,G,C,A,A,A,C,C,A,A,B,B,A,G,B,A,C,E,E,F,5,4,1,2,1,6,1,1,2,4,4,4,5,3,6,6,5,5,5,5,4,3,5,6,5,4,4,5,4,5,5,6,5,6,6,6,6,6,1,1,2,5
C,C,C,C,B,C,B,D,C,A,A,A,F,F,B,D,F,D,E,A,A,A,A,A,B,B,B,A,A,B,C,D,H,F,5,4,5,6,6,6,6,5,5,6,5,5,5,5,6,6,5,6,4,8,4,5,5,6,6,4,5,5,5,6,5,6,5,6,6,6,6,6,5,5,2,4
C,C,C,C,C,C,C,C,C,B,A,A,D,D,C,C,E,E,E,A,A,A,A,A,B,B,A,K,A,B,B,D,A,A,4,5,3,3,5,5,5,3,2,5,5,4,5,2,5,5,6,6,6,6,5,4,5,7,5,6,6,6,5,6,5,6,5,6,6,6,6,5,6,6,5,6
D,D,C,B,B,C,D,A,C,A,A,A,A,A,B,E,B,D,E,A,A,A,A,A,A,A,F,G,B,B,B,E,H,F,4,5,5,5,5,5,4,6,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,3,6,4,4,5,5,4,5,5,5,5,5,6,4,4,5,5,4
C,C,C,B,B,B,C,D,B,B,A,A,D,D,C,B,E,E,E,A,A,A,A,A,B,A,B,B,B,A,A,E,H,C,4,4,1,3,1,5,1,1,4,1,3,3,7,6,1,6,3,2,5,6,2,2,5,4,6,5,5,6,1,6,3,6,6,2,6,6,6,8,1,1,1,6
D,D,*,C,D,C,D,C,D,A,A,A,D,E,B,C,D,D,E,A,A,A,A,A,B,B,B,G,A,D,B,E,E,A,3,3,4,4,3,5,4,3,4,5,4,4,5,3,2,6,3,5,3,2,5,5,3,7,3,8,8,2,2,4,4,5,2,4,6,6,6,6,8,5,3,5
B,C,C,D,B,C,D,C,B,B,A,A,C,C,C,C,D,F,E,A,A,A,A,A,E,A,B,B,A,A,A,E,E,A,4,4,3,3,5,5,6,6,6,6,3,2,4,2,2,5,8,6,8,8,2,2,6,7,8,8,6,2,1,3,3,6,5,5,5,5,5,5,8,3,1,6
A,B,C,C,B,B,E,E,C,A,A,A,E,E,B,C,E,C,A,A,A,B,A,A,B,B,B,G,A,B,D,E,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,6,5,8,6,6,6
C,C,C,B,B,B,D,D,B,A,D,A,D,B,B,D,D,E,A,A,C,D,A,A,A,D,B,C,B,A,C,E,A,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C,C,C,C,D,C,B,D,D,A,C,A,D,C,B,D,C,E,E,A,A,A,A,A,B,B,B,C,A,B,B,E,E,C,5,4,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,6,4,5,5,5,5,4,4,5,5,4
C,D,C,C,B,C,D,D,B,A,A,A,D,D,B,C,E,C,A,A,A,B,A,A,B,A,A,A,A,D,C,E,E,C,3,4,5,4,3,3,5,4,3,6,2,4,4,3,2,6,5,5,3,3,4,4,5,4,8,5,5,2,4,5,5,6,3,4,5,6,6,5,8,3,5,4
A,C,C,A,B,B,D,D,B,A,A,A,E,E,D,A,C,B,A,A,A,B,A,A,B,A,B,G,A,A,C,A,A,A,4,5,4,4,4,4,3,4,3,5,3,4,4,2,2,6,4,5,5,8,4,3,4,7,6,3,5,2,4,4,4,6,6,6,4,4,6,5,8,4,3,3
B,B,D,A,A,A,E,E,A,A,A,A,E,F,D,A,D,B,A,A,A,B,A,A,B,A,B,C,A,B,C,E,H,I,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,D,B,B,B,B,E,B,A,A,A,D,D,D,A,C,A,A,A,D,B,B,D,A,A,A,H,B,C,D,E,A,A,5,4,5,5,4,5,5,5,4,4,5,5,5,3,5,6,6,6,6,5,5,5,4,7,7,8,8,4,8,5,5,6,5,5,6,6,6,5,5,8,4,6
C,C,C,C,A,C,B,D,B,A,A,A,E,F,D,A,B,B,A,A,A,A,B,A,A,A,B,C,A,B,E,E,A,F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,6,6,5,5,5,3,3,4,3,2,5,3,3,3,5,3,5,5
C,C,C,A,B,A,A,E,B,A,A,A,E,E,D,A,C,B,A,A,A,B,A,A,B,A,B,C,A,E,D,E,E,A,5,3,6,6,6,3,4,2,2,6,2,4,4,3,4,6,6,6,6,6,5,3,6,2,6,2,4,6,4,5,4,6,5,5,6,6,6,4,1,8,7,4
C,C,C,A,B,B,B,E,C,A,A,A,C,B,D,A,B,D,D,A,C,B,A,A,B,A,B,C,A,B,D,E,E,A,5,6,6,5,5,5,6,8,5,6,4,5,6,3,5,6,5,6,4,5,5,5,5,6,6,5,5,5,5,5,5,5,4,6,5,5,5,6,4,5,3,6
C,B,E,A,A,B,D,D,B,A,C,A,D,D,A,A,D,D,A,A,A,A,A,D,A,A,D,C,B,A,C,E,E,I,4,5,2,5,4,5,4,2,5,4,1,4,6,3,2,6,6,6,6,1,6,5,2,7,3,6,6,1,1,5,5,6,6,6,6,6,6,6,6,5,5,6
C,D,C,B,C,B,B,B,B,A,C,A,C,D,D,A,B,A,A,A,D,B,A,D,A,A,C,H,A,A,C,E,A,A,5,4,4,4,4,5,5,5,5,5,6,5,4,3,3,3,5,6,4,4,4,4,5,3,5,4,8,2,4,5,3,5,3,4,4,3,3,5,2,3,1,3
A,B,A,D,D,D,B,.,B,A,A,A,F,E,D,A,B,B,A,A,B,A,A,A,B,A,A,C,A,A,C,E,H,A,3,4,2,4,7,3,4,2,4,5,1,2,7,1,1,6,6,6,6,5,2,2,4,6,6,5,5,1,2,2,4,3,5,5,2,3,2,4,1,2,4,2
B,C,C,B,B,C,A,D,C,A,A,A,F,E,B,C,F,C,A,A,A,A,A,A,B,A,B,C,A,A,C,E,A,F,5,5,4,6,5,5,5,5,6,6,4,3,5,5,5,6,5,6,5,6,5,4,6,7,5,6,6,4,5,5,5,6,5,6,5,4,3,4,4,4,4,4
A,A,B,C,C,B,D,E,B,A,C,A,D,D,D,A,D,D,E,A,C,C,A,A,B,A,B,C,A,C,B,E,D,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,6,6,1,6,6,6,4,6,6,6,6,6,6,6,6,6,6,4,5,4,6
A,A,A,A,A,A,A,A,A,A,A,A,F,E,D,A,D,D,E,A,A,A,A,A,A,B,B,A,A,C,B,E,A,F,4,2,2,3,2,2,1,1,2,4,1,1,3,1,1,1,4,4,2,2,1,1,1,7,6,1,2,1,2,2,3,6,4,2,6,6,6,3,1,1,1,1
D,D,C,A,A,A,E,C,B,A,A,A,E,E,B,D,F,C,A,A,A,A,A,A,B,A,C,G,A,C,C,E,B,F,6,6,4,3,5,6,6,5,6,4,5,6,6,4,4,6,4,6,4,3,6,5,4,6,7,6,6,8,5,5,6,6,6,6,6,6,6,6,8,6,6,6
C,C,C,A,B,D,D,C,A,A,B,A,D,E,A,D,C,C,C,A,A,A,A,B,A,A,B,A,A,B,C,A,E,A,5,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,4,3,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5
E,D,C,D,E,A,B,C,B,A,A,A,D,D,A,A,C,D,E,A,A,A,A,A,A,A,B,C,A,D,D,D,A,A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,5,8,4,4,2,6,6,8,8,4,4,4,4,5,4,5,5,5,5,5,6,4,5,5
E,E,E,E,E,E,D,D,E,A,C,A,C,D,B,C,A,B,A,A,C,A,A,D,A,A,B,C,B,A,C,E,E,F,6,5,6,5,6,6,5,6,4,4,3,5,4,5,4,6,5,6,2,6,5,5,6,4,5,6,5,6,6,3,6,6,2,2,6,4,6,4,2,6,1,4
C,C,C,D,D,C,A,D,B,A,A,A,E,D,D,A,E,C,A,A,A,B,A,A,B,A,B,A,A,B,B,E,E,G,3,2,4,8,2,4,4,3,3,5,3,2,4,3,3,4,5,5,4,8,4,3,3,4,8,4,8,4,3,3,4,6,4,4,4,3,4,5,1,4,3,4
A,A,A,A,A,A,A,A,A,A,C,A,F,E,D,A,E,A,A,A,A,B,A,E,A,A,B,B,A,B,E,D,E,F,5,6,5,6,6,6,4,5,5,5,4,4,4,8,5,6,6,6,5,8,5,5,6,7,6,1,6,6,5,4,5,5,5,5,6,6,6,5,8,6,5,6
C,C,B,B,B,C,D,D,D,A,A,A,D,D,B,C,C,A,A,D,A,B,A,C,A,A,B,C,A,B,C,A,E,C,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,B,B,B,C,B,B,D,D,A,A,A,B,B,B,E,D,C,D,B,A,A,A,A,A,A,F,A,B,B,B,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A,C,C,A,B,C,E,D,C,B,A,A,C,B,C,B,E,E,D,H,A,A,A,A,A,A,B,A,B,C,C,E,E,C,6,6,6,6,6,5,5,5,6,6,5,6,5,5,5,6,6,5,4,4,6,5,6,5,5,6,6,6,6,6,4,5,5,6,4,5,6,6,5,5,5,6
C,D,C,B,B,C,E,D,C,A,A,A,B,D,B,B,D,C,E,E,A,B,A,A,B,A,B,A,B,C,C,E,E,C,6,6,5,6,5,5,6,6,5,6,6,5,6,5,5,6,5,5,5,6,5,5,6,5,6,6,6,5,6,5,5,6,6,6,5,5,6,6,6,6,6,6
C,D,C,B,C,D,A,B,C,A,A,A,B,D,A,A,B,C,D,B,A,A,A,A,A,B,F,C,B,D,A,E,E,C,5,5,4,6,6,6,5,4,5,6,5,4,5,5,5,6,5,5,6,6,6,5,4,7,6,6,6,6,5,5,5,6,6,5,4,5,6,6,6,6,6,5
C,D,C,C,C,C,B,D,C,A,A,A,E,E,B,D,C,D,D,H,A,A,A,A,A,B,B,C,A,C,C,A,E,I,5,6,6,6,6,5,6,5,6,5,5,5,6,6,6,5,6,6,4,6,6,5,6,7,6,8,6,6,6,5,6,6,6,6,5,5,5,6,6,6,6,6
B,C,C,A,A,B,A,E,C,A,A,A,D,D,B,F,E,E,E,C,A,A,B,A,A,B,F,H,A,B,C,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6
B,C,C,A,B,B,B,B,D,E,A,A,C,D,C,B,B,C,D,F,A,A,A,A,A,A,B,A,A,C,C,A,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,A,B,D,D,B,D,B,A,A,A,C,F,D,A,E,C,D,H,A,A,A,A,A,A,B,C,A,D,B,E,E,H,4,4,4,5,4,3,3,4,4,4,3,4,4,2,4,4,5,5,5,5,3,3,5,3,6,5,5,6,4,5,4,4,5,3,6,6,4,6,4,4,4,3
B,D,C,B,B,C,A,D,.,A,A,A,D,E,A,A,A,F,E,D,A,B,A,D,A,A,B,C,A,C,B,E,A,C,5,6,5,4,4,5,5,6,5,5,5,6,4,5,6,5,5,6,5,5,4,5,5,5,8,3,6,6,5,5,5,5,5,3,5,4,5,6,8,6,2,5
D,D,B,B,B,C,A,C,E,A,A,A,E,D,B,B,E,D,E,C,A,A,A,C,A,B,B,A,A,A,B,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6
C,D,C,B,C,D,B,B,C,A,A,A,C,C,B,B,B,E,E,D,A,A,A,A,A,A,B,C,B,B,B,E,C,F,5,6,6,5,6,5,6,5,5,6,5,5,5,5,5,6,6,5,4,5,5,5,5,6,6,6,6,6,5,6,5,6,4,3,4,4,4,6,5,5,5,4
C,D,C,B,A,C,B,D,C,A,A,A,C,C,C,C,D,D,E,I,A,A,A,A,A,B,A,K,B,C,B,E,A,F,5,6,5,5,5,6,6,6,6,6,6,5,6,5,6,6,4,5,6,5,6,5,6,5,6,4,5,4,5,5,5,6,5,5,4,5,5,5,4,4,5,5
C,D,B,C,C,C,B,D,D,C,A,A,C,C,A,A,A,C,E,C,A,A,A,A,A,A,A,G,B,C,C,A,A,F,5,6,6,5,5,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,5,5,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6
C,E,C,B,B,B,A,D,B,A,A,A,D,C,B,E,E,C,E,B,A,A,A,A,D,A,B,C,A,B,C,A,E,C,5,5,5,5,5,5,5,4,5,4,5,5,5,5,6,5,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,6,6,4,5,5,6,6,6,6,5,5
C,C,C,B,B,C,B,E,D,A,A,A,B,F,A,A,C,C,E,B,A,A,A,A,A,B,B,C,A,C,C,E,A,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,C,B,B,B,B,D,C,A,A,A,D,F,B,B,B,D,E,C,A,A,A,A,A,A,A,A,A,C,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6
C,A,B,B,B,D,A,C,B,A,A,A,B,B,F,A,A,D,A,C,A,B,A,C,A,D,A,A,B,B,E,A,E,H,5,5,6,6,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,7,5,8,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6
C,D,C,B,C,D,B,D,C,B,A,A,B,B,C,B,B,C,E,H,A,A,A,A,A,C,A,G,B,C,C,E,C,H,5,6,5,5,5,6,6,5,6,5,6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6
C,D,C,B,C,C,E,D,C,A,A,A,D,B,B,F,D,C,D,D,A,A,A,A,A,A,B,A,A,C,B,E,A,C,5,6,6,6,5,6,6,6,5,6,5,5,4,5,4,4,6,6,6,6,6,4,6,7,4,1,4,6,6,5,5,6,6,6,5,5,5,5,6,4,4,6
C,B,C,B,B,B,E,D,C,B,A,A,E,C,C,B,C,C,D,H,A,F,B,A,A,B,A,B,A,D,D,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,5,6,6,6,6,5,5,6,6,4,6,5,6,6,5,6,5,6,5
B,D,C,B,B,D,B,B,B,A,A,A,B,B,B,F,C,E,E,C,A,A,A,A,A,A,B,C,B,D,C,A,A,F,6,6,6,6,5,6,6,5,6,5,6,6,5,6,6,5,6,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,6,5,6,6,5,6,5,6,6,6
C,D,B,B,B,C,B,C,D,A,A,A,C,C,B,D,A,A,A,C,A,A,A,A,A,A,B,A,A,B,C,E,C,E,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C,D,C,B,B,C,B,D,C,A,A,A,B,C,A,A,B,C,E,C,A,A,A,A,A,B,B,C,B,E,C,E,E,C,4,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,5,5,8,4,4,4,7,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5
C,D,B,B,B,C,B,D,C,A,A,A,E,D,B,C,G,D,E,B,A,A,A,A,B,A,A,A,A,E,E,E,H,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,B,A,B,A,D,B,B,C,A,E,D,C,B,B,D,E,C,A,A,A,D,A,A,B,A,A,B,C,E,A,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,C,C,D,D,A,B,E,C,A,A,A,D,C,B,D,C,B,B,E,A,A,A,A,A,A,B,C,B,B,C,E,B,C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
D,C,A,E,D,D,B,C,.,A,A,A,B,C,F,A,C,C,D,C,A,A,A,A,A,B,D,G,B,D,B,A,H,H,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,C,A,A,B,E,D,C,A,A,A,C,C,B,E,B,C,D,C,A,A,A,A,A,A,B,G,B,C,C,E,A,F,6,6,5,6,6,5,6,6,5,6,6,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,B,B,C,B,E,C,A,A,A,C,D,A,A,C,F,E,B,A,A,A,A,B,B,B,C,A,D,B,A,A,F,5,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6,6
D,D,C,A,B,C,B,E,D,A,A,A,B,B,B,C,E,C,E,H,A,A,A,A,A,A,B,A,A,C,C,E,A,H,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,C,A,A,C,B,D,C,A,C,A,B,B,B,D,B,E,E,C,A,A,A,B,A,A,B,C,A,B,B,E,A,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,C,B,B,C,B,B,C,B,A,A,D,D,C,B,D,E,E,E,A,A,A,A,A,A,B,C,A,C,D,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
B,D,A,D,D,C,B,C,C,A,A,A,D,D,B,C,E,B,C,B,A,B,A,A,B,A,B,C,A,E,E,B,B,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,C,C,C,D,B,D,D,A,A,A,D,D,B,G,C,E,E,C,A,A,A,E,A,A,A,B,B,B,B,A,H,C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
D,D,B,B,B,C,B,D,D,B,A,A,D,D,B,C,B,C,E,F,A,A,A,A,A,B,B,K,B,E,D,A,E,C,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,6,5,6,6,5,6,7,6,6,6,6,6,6,6,6,6,5,5,6,6,5,5,6,6,5
C,C,B,B,B,B,E,E,C,A,A,A,D,D,B,C,D,C,E,B,E,A,A,A,B,A,B,D,B,D,C,A,C,C,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,E,A,B,C,D,B,C,D,A,A,A,A,B,B,B,B,E,E,D,A,A,A,D,A,A,A,H,B,B,B,A,E,C,5,6,4,5,6,6,5,5,5,6,4,4,5,5,6,6,6,6,6,6,5,5,6,7,8,6,6,5,3,4,6,6,4,3,5,6,5,5,4,6,4,6
