CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
5,10002,10028,4004,PI,2,24,M,2007,2008,1,1,0,45.5,45.3,37.5,57.0,49.0,45.0,50.0,65.0,65.0,65.0,45.5,52.4,6.7,0.0,20.0,0.0
5,10002,10028,4004,PI,2,22,M,2008,2009,1,1,0,73.0,73.7,87.5,53.0,26.0,70.0,15.0,80.0,80.0,80.0,72.8,76.2,53.3,50.0,50.0,60.0
5,10002,10028,4004,PI,2,23,M,2009,2010,1,1,0,43.1,59.9,62.5,56.0,35.0,75.0,25.0,77.0,65.0,80.0,37.5,42.9,6.7,0.0,0.0,20.0
5,10002,10028,4004,PI,2,24,M,2009,2011,1,1,0,72.5,79.5,87.5,67.5,86.0,70.0,90.0,49.0,65.0,45.0,70.2,71.4,63.3,70.0,40.0,80.0
5,10002,10028,4004,PI,2,22,M,2009,2010,1,1,0,42.3,53.6,50.0,59.0,39.0,75.0,30.0,79.0,75.0,80.0,38.5,42.9,13.3,0.0,0.0,40.0
5,10002,10028,4004,PI,2,23,M,2008,2009,1,1,0,55.7,72.6,75.0,69.0,87.0,75.0,90.0,51.0,55.0,50.0,50.0,52.4,36.7,0.0,70.0,40.0
5,10002,10028,4004,PI,2,25,M,2007,2009,1,1,0,44.1,68.7,87.5,40.5,48.0,40.0,50.0,33.0,45.0,30.0,35.9,38.1,23.3,0.0,50.0,20.0
5,10002,10028,4004,PI,2,23,F,2008,2009,1,1,0,48.2,80.7,87.5,70.5,75.0,75.0,75.0,66.0,70.0,65.0,37.4,38.1,33.3,0.0,20.0,80.0
5,10002,10028,4004,PI,2,24,M,2007,2008,1,1,0,61.2,67.5,62.5,75.0,76.0,60.0,80.0,74.0,50.0,80.0,59.1,61.9,43.3,0.0,50.0,80.0
5,10002,10028,4004,PI,2,22,M,2010,2011,1,1,0,56.5,61.1,62.5,59.0,58.0,70.0,55.0,60.0,60.0,60.0,55.0,57.1,43.3,0.0,50.0,80.0
