data,time1,time2,result
27/04/2003,"Vasco","SãoCaetano",V
27/04/2003,"Goiás","Juventude",V
27/04/2003,"Paysandu","SãoPaulo",V
27/04/2003,"Santos","Fortaleza",V
27/04/2003,"AtléticoPR","Criciúma",V
27/04/2003,"Figueirense","PontePreta",E
03/05/2003,"Bahia","Grêmio",V
03/05/2003,"Cruzeiro","AtléticoPR",V
03/05/2003,"Flamengo","Vitória",V
04/05/2003,"Coritiba","Paraná",V
04/05/2003,"Criciúma","Santos",D
04/05/2003,"Fluminense","Vasco",E
04/05/2003,"Fortaleza","Corinthians",D
04/05/2003,"Internacional","Goiás",V
04/05/2003,"Juventude","Guarani",E
04/05/2003,"PontePreta","AtléticoMG",V
04/05/2003,"SãoCaetano","Paysandu",V
04/05/2003,"SãoPaulo","Figueirense",V
10/05/2003,"Corinthians","Criciúma",V
10/05/2003,"Goiás","Flamengo",E
10/05/2003,"Paraná","PontePreta",V
10/05/2003,"Santos","Cruzeiro",D
11/05/2003,"AtléticoMG","SãoPaulo",E
11/05/2003,"AtléticoPR","Juventude",V
11/05/2003,"Figueirense","SãoCaetano",V
11/05/2003,"Grêmio","Coritiba",V
11/05/2003,"Guarani","Internacional",V
11/05/2003,"Paysandu","Fluminense",E
11/05/2003,"Vasco","Bahia",E
11/05/2003,"Vitória","Fortaleza",V
17/05/2003,"Juventude","Santos",E
17/05/2003,"Fluminense","Figueirense",V
17/05/2003,"SãoCaetano","AtléticoMG",V
18/05/2003,"Bahia","Paysandu",V
18/05/2003,"SãoPaulo","Paraná",V
18/05/2003,"Coritiba","Vasco",E
18/05/2003,"Criciúma","Vitória",E
18/05/2003,"Cruzeiro","Corinthians",E
18/05/2003,"Flamengo","Guarani",E
18/05/2003,"Fortaleza","Goiás",V
18/05/2003,"Internacional","AtléticoPR",E
18/05/2003,"PontePreta","Grêmio",V
24/05/2003,"AtléticoMG","Fluminense",V
24/05/2003,"Corinthians","Juventude",V
24/05/2003,"Paraná","SãoCaetano",E
24/05/2003,"Vasco","PontePreta",V
25/05/2003,"AtléticoPR","Flamengo",V
25/05/2003,"Figueirense","Bahia",V
25/05/2003,"Goiás","Criciúma",D
25/05/2003,"Grêmio","SãoPaulo",D
25/05/2003,"Guarani","Fortaleza",V
25/05/2003,"Paysandu","Coritiba",D
25/05/2003,"Santos","Internacional",V
25/05/2003,"Vitória","Cruzeiro",V
31/05/2003,"Coritiba","Guarani",V
31/05/2003,"Cruzeiro","Criciúma",V
31/05/2003,"Fluminense","AtléticoPR",V
31/05/2003,"Internacional","Paysandu",V
31/05/2003,"PontePreta","SãoCaetano",E
01/06/2003,"Bahia","Goiás",V
01/06/2003,"Corinthians","Vitória",V
01/06/2003,"Figueirense","Grêmio",V
01/06/2003,"Fortaleza","Juventude",V
01/06/2003,"Paraná","Flamengo",V
01/06/2003,"Santos","SãoPaulo",V
01/06/2003,"Vasco","AtléticoMG",E
07/06/2003,"AtléticoMG","Figueirense",E
07/06/2003,"Grêmio","Fortaleza",V
07/06/2003,"Guarani","Santos",D
07/06/2003,"Vitória","Fluminense",V
08/06/2003,"AtléticoPR","PontePreta",V
08/06/2003,"Criciúma","Internacional",V
08/06/2003,"Goiás","Coritiba",D
08/06/2003,"Juventude","Vasco",E
08/06/2003,"Paysandu","Paraná",V
08/06/2003,"SãoCaetano","Corinthians",V
08/06/2003,"SãoPaulo","Bahia",E
14/06/2003,"Fluminense","Goiás",D
14/06/2003,"PontePreta","Guarani",D
14/06/2003,"Coritiba","AtléticoPR",V
15/06/2003,"Bahia","Vitória",V
15/06/2003,"Corinthians","SãoPaulo",D
15/06/2003,"Criciúma","Figueirense",V
15/06/2003,"Cruzeiro","AtléticoMG",E
15/06/2003,"Fortaleza","Paysandu",D
15/06/2003,"Grêmio","Internacional",E
15/06/2003,"Paraná","Juventude",D
15/06/2003,"Santos","SãoCaetano",D
15/06/2003,"Vasco","Flamengo",D
18/06/2003,"Flamengo","Cruzeiro",V
19/06/2003,"Bahia","Coritiba",E
21/06/2003,"AtléticoMG","Grêmio",V
21/06/2003,"SãoPaulo","Goiás",V
21/06/2003,"Vasco","Criciúma",V
21/06/2003,"Internacional","Paraná",V
22/06/2003,"Figueirense","Fortaleza",E
22/06/2003,"Fluminense","Guarani",V
22/06/2003,"Juventude","Cruzeiro",D
22/06/2003,"Paysandu","Flamengo",E
22/06/2003,"PontePreta","Corinthians",E
22/06/2003,"SãoCaetano","Vitória",V
28/06/2003,"Coritiba","SãoCaetano",V
28/06/2003,"Flamengo","Figueirense",D
28/06/2003,"Fortaleza","Vasco",D
28/06/2003,"Grêmio","Juventude",D
28/06/2003,"Santos","Bahia",V
29/06/2003,"Corinthians","Fluminense",V
29/06/2003,"Criciúma","Paysandu",V
29/06/2003,"Cruzeiro","Internacional",V
29/06/2003,"Guarani","SãoPaulo",D
29/06/2003,"Paraná","AtléticoMG",E
29/06/2003,"Vitória","AtléticoPR",V
05/07/2003,"Vasco","Paraná",D
05/07/2003,"SãoPaulo","SãoCaetano",E
05/07/2003,"AtléticoMG","Paysandu",V
05/07/2003,"Figueirense","Cruzeiro",V
06/07/2003,"Juventude","Internacional",E
06/07/2003,"Grêmio","Flamengo",V
06/07/2003,"Fluminense","Bahia",V
06/07/2003,"Guarani","Goiás",V
