time1,time2,r1c,r1f,r2c,r2f,result
"Goiás","Figueirense",0.866667,0.266667,0.8,0.466667,V
"Guarani","SãoPaulo",0.333333,0.6,0.666667,0.733333,D
"Juventude","Coritiba",0.666667,0.133333,0.666667,0.266667,V
"SãoCaetano","Paysandu",1,0.333333,0.866667,0,V
"Vitória","Flamengo",0.666667,0.4,0.466667,0.4,D
"Bahia","Vasco",0.8,0.0666667,0.666667,0.266667,V
"Corinthians","Palmeiras",0.533333,0.533333,0.733333,0.133333,E
"Figueirense","Flamengo",0.8,0.466667,0.466667,0.4,V
"Fluminense","Goiás",0.666667,0.266667,0.866667,0.333333,E
"Paraná","Gama",0.533333,0.2,0.533333,0.2,V
"Paysandu","Santos",1,0,0.533333,0.466667,V
"PontePreta","Vitória",0.866667,0.2,0.666667,0.266667,E
"Portuguesa","Guarani",0.666667,0.266667,0.333333,0.4,V
"SãoCaetano","Cruzeiro",0.866667,0.333333,0.6,0.333333,E
"AtléticoPR","Coritiba",0.266667,0.4,0.666667,0.2,V
"BotafogoRJ","Fluminense",0.466667,0.333333,0.666667,0.466667,D
"Gama","Goiás",0.466667,0.2,0.866667,0.466667,D
"Internacional","Grêmio",0.266667,0.6,0.866667,0.466667,D
"Juventude","Figueirense",0.666667,0.133333,0.8,0.266667,V
"Portuguesa","SãoPaulo",0.466667,0.266667,0.666667,0.866667,D
"Santos","Flamengo",0.533333,0.466667,0.466667,0.2,V
"Guarani","PontePreta",0.266667,0.4,0.866667,0.4,D
"AtléticoMG","Internacional",0.6,0.4,0.266667,0.4,V
"Bahia","Santos",0.666667,0.0666667,0.533333,0.466667,E
"Coritiba","Cruzeiro",0.666667,0.2,0.6,0.333333,V
"Figueirense","SãoCaetano",0.6,0.266667,0.866667,0.466667,D
"Flamengo","Corinthians",0.266667,0.2,0.533333,0.733333,D
"Grêmio","AtléticoPR",0.866667,0.466667,0.266667,0.333333,V
"Palmeiras","BotafogoRJ",0.733333,0.133333,0.466667,0.333333,V
"Paysandu","Goiás",0.8,0,0.866667,0.666667,D
"Fluminense","Vasco",0.866667,0.466667,0.666667,0.2,V
"Paraná","Juventude",0.666667,0.2,0.666667,0.133333,V
"SãoPaulo","PontePreta",0.666667,0.866667,0.866667,0.4,V
"Flamengo","BotafogoRJ",0.466667,0.2,0.466667,0.266667,V
"Guarani","Santos",0.2,0.4,0.533333,0.466667,D
"Internacional","Coritiba",0.0666667,0.4,0.666667,0.2,D
"AtléticoPR","AtléticoMG",0.266667,0.333333,0.6,0.266667,E
"Corinthians","Fluminense",0.333333,0.733333,0.866667,0.466667,D
"Cruzeiro","Grêmio",0.6,0.333333,0.866667,0.466667,V
"Goiás","Paraná",0.866667,0.666667,0.666667,0.2,V
"Paysandu","Figueirense",0.8,0,0.6,0.266667,V
