data,time1,time2,r1c,r1f,r2c,r2f,rk1,rk2,result
23/11/2003,"SãoPaulo","Vitória",0.866667,0.2,0.333333,0.266667,431,141,V
23/11/2003,"Paraná","Cruzeiro",0.533333,0.733333,0.8,0.8,309,375,D
23/11/2003,"SãoCaetano","Goiás",0.666667,0.466667,1,0.4,287,344,V
23/11/2003,"Guarani","Corinthians",0.4,0.2,0.4,0.2,143,358,D
23/11/2003,"Paysandu","Juventude",0.8,0,0.4,0.333333,180,308,V
23/11/2003,"Bahia","AtléticoPR",0.466667,0,0.666667,0.466667,76,345,D
29/11/2003,"Vasco","Figueirense",0.333333,0.266667,0.866667,0.133333,309,325,V
29/11/2003,"Juventude","AtléticoMG",0.533333,0.333333,0.333333,0.266667,308,267,V
29/11/2003,"Fluminense","SãoCaetano",0.866667,0.0666667,0.666667,0.466667,340,287,V
29/11/2003,"Internacional","Flamengo",0.533333,0.466667,1,0.133333,371,321,V
29/11/2003,"AtléticoPR","Guarani",0.8,0.466667,0.4,0.2,345,143,V
30/11/2003,"Cruzeiro","Paysandu",0.8,0.8,0.8,0,375,180,V
30/11/2003,"Corinthians","Bahia",0.4,0.2,0.466667,0.2,358,76,D
30/11/2003,"Goiás","Santos",1,0.4,0.866667,0.666667,344,415,V
30/11/2003,"PontePreta","SãoPaulo",0.133333,0.333333,0.866667,0.4,245,431,D
30/11/2003,"Fortaleza","Paraná",0.533333,0.2,0.533333,0.533333,143,309,V
30/11/2003,"Vitória","Coritiba",0.533333,0.266667,0.666667,0,141,220,V
30/11/2003,"Criciúma","Grêmio",0.266667,0.0666667,0.666667,0.6,110,265,D
06/12/2003,"Vitória","AtléticoMG",0.333333,0.266667,0.333333,0.266667,141,267,D
06/12/2003,"AtléticoPR","Vasco",0.666667,0.466667,0.333333,0.333333,345,309,E
06/12/2003,"Goiás","Figueirense",0.8,0.4,0.866667,0.333333,344,325,D
06/12/2003,"Corinthians","Paraná",0.466667,0.2,0.533333,0.533333,358,309,E
07/12/2003,"Cruzeiro","Fluminense",0.8,0.8,0.866667,0.0666667,375,340,V
07/12/2003,"Guarani","Paysandu",0.6,0.2,0.8,0,143,180,V
07/12/2003,"Fortaleza","Coritiba",0.533333,0.2,0.666667,0.0666667,143,220,E
07/12/2003,"Internacional","SãoPaulo",0.6,0.466667,0.866667,0.466667,371,431,E
07/12/2003,"Flamengo","PontePreta",0.866667,0.133333,0.133333,0.2,321,245,E
07/12/2003,"Criciúma","Bahia",0.466667,0.0666667,0.466667,0.2,110,76,V
07/12/2003,"Santos","Grêmio",0.866667,0.666667,0.666667,0.466667,415,265,E
07/12/2003,"Juventude","SãoCaetano",0.666667,0.333333,0.666667,0.266667,308,287,V
13/12/2003,"AtléticoMG","Goiás",0.533333,0.266667,0.8,0.4,267,344,V
13/12/2003,"Paraná","Vitória",0.533333,0.533333,0.333333,0.266667,309,141,V
13/12/2003,"SãoCaetano","Internacional",0.8,0.266667,0.6,0.4,287,371,V
13/12/2003,"Coritiba","Criciúma",0.666667,0.0666667,0.466667,0.0666667,220,110,V
13/12/2003,"Figueirense","Guarani",0.866667,0.333333,0.6,0.133333,325,143,V
14/12/2003,"SãoPaulo","Flamengo",0.666667,0.466667,0.866667,0.333333,431,321,D
14/12/2003,"Vasco","Santos",0.333333,0.333333,0.866667,0.666667,309,415,E
14/12/2003,"Fluminense","Juventude",0.866667,0.0666667,0.666667,0.266667,340,308,V
14/12/2003,"Grêmio","Corinthians",0.666667,0.466667,0.466667,0.2,265,358,V
14/12/2003,"Paysandu","AtléticoPR",0.666667,0,0.666667,0.466667,180,345,E
14/12/2003,"PontePreta","Fortaleza",0.266667,0.2,0.533333,0.2,245,143,V
14/12/2003,"Bahia","Cruzeiro",0.266667,0.2,0.8,0.8,76,375,D
21/04/2004,"Botafogo","Goiás",0,0,0,0.2,219,344,D
21/04/2004,"Figueirense","Internacional",0.2,0,0,0,325,371,V
21/04/2004,"SãoCaetano","Vitória",0.2,0,0,0,287,141,V
21/04/2004,"Cruzeiro","Juventude",0.2,0,0,0,375,308,V
21/04/2004,"Palmeiras","AtléticoMG",0.0666667,0,0,0.0666667,278,267,E
21/04/2004,"Grêmio","Flamengo",0.0666667,0,0,0.0666667,265,321,E
21/04/2004,"PontePreta","Corinthians",0.2,0,0,0,245,358,V
21/04/2004,"Paraná","Santos",0.2,0,0,0,309,415,V
22/04/2004,"Coritiba","Guarani",0.2,0,0,0,220,143,V
22/04/2004,"Vasco","Criciúma",0,0,0,0.2,309,110,D
22/04/2004,"Paysandu","Fluminense",0.0666667,0,0,0.0666667,180,340,E
22/04/2004,"SãoPaulo","AtléticoPR",0.2,0,0,0,431,345,V
24/04/2004,"Flamengo","PontePreta",0.0666667,0.0666667,0.2,0.0666667,321,245,E
24/04/2004,"Goiás","Cruzeiro",0.0666667,0.2,0.2,0.0666667,344,375,E
24/04/2004,"Juventude","Grêmio",0.0666667,0,0.0666667,0.0666667,308,265,E
25/04/2004,"Internacional","Palmeiras",0.2,0,0.0666667,0,371,278,V
25/04/2004,"AtléticoMG","Vasco",0.0666667,0.0666667,0,0.0666667,267,309,E
25/04/2004,"Fluminense","Coritiba",0.0666667,0.0666667,0.2,0.0666667,340,220,E
25/04/2004,"Corinthians","Paysandu",0.2,0,0.0666667,0,358,180,V
25/04/2004,"Guarani","SãoCaetano",0.0666667,0,0.2,0.0666667,143,287,E
25/04/2004,"AtléticoPR","Figueirense",0,0,0.2,0.2,345,325,D
25/04/2004,"Vitória","Paraná",0.2,0,0.2,0,141,309,V
25/04/2004,"Criciúma","SãoPaulo",0.0666667,0.2,0.2,0.0666667,110,431,E
25/04/2004,"Santos","Botafogo",0.2,0,0,0,415,219,V
28/04/2004,"Botafogo","AtléticoMG",0.0666667,0,0.0666667,0.133333,219,267,E
28/04/2004,"Coritiba","Internacional",0.266667,0.0666667,0.2,0.0666667,220,371,E
28/04/2004,"Cruzeiro","Criciúma",0.266667,0.0666667,0.0666667,0.266667,375,110,E
28/04/2004,"Paysandu","AtléticoPR",0.0666667,0,0,0.2,180,345,D
28/04/2004,"PontePreta","Goiás",0.4,0.0666667,0.0666667,0.2,245,344,V
28/04/2004,"Figueirense","Santos",0.4,0.2,0.2,0,325,415,V
28/04/2004,"Grêmio","Corinthians",0.266667,0.0666667,0.2,0,265,358,V
28/04/2004,"SãoPaulo","Fluminense",0.4,0.0666667,0.0666667,0.0666667,431,340,V
29/04/2004,"Vasco","Guarani",0,0.0666667,0.0666667,0.2,309,143,D
29/04/2004,"Paraná","Flamengo",0.4,0,0.0666667,0.0666667,309,321,V
29/04/2004,"Palmeiras","Vitória",0.133333,0,0.2,0.0666667,278,141,E
01/05/2004,"AtléticoMG","PontePreta",0.0666667,0.133333,0.4,0.266667,267,245,D
01/05/2004,"Criciúma","Botafogo",0.266667,0.266667,0.0666667,0,110,219,V
01/05/2004,"Goiás","Grêmio",0.266667,0.2,0.266667,0.0666667,344,265,V
01/05/2004,"Internacional","Paysandu",0.4,0.0666667,0.0666667,0,371,180,V
02/05/2004,"AtléticoPR","Coritiba",0.0666667,0.2,0.266667,0.133333,345,220,E
02/05/2004,"Corinthians","Palmeiras",0.2,0,0.133333,0.2,358,278,D
02/05/2004,"Flamengo","SãoCaetano",0.133333,0.0666667,0.2,0.133333,321,287,E
02/05/2004,"Fluminense","Vasco",0.266667,0.0666667,0,0.0666667,340,309,V
02/05/2004,"Guarani","SãoPaulo",0.0666667,0.2,0.4,0.266667,143,431,D
02/05/2004,"Juventude","Paraná",0.266667,0,0.4,0,308,309,V
02/05/2004,"Santos","Cruzeiro",0.2,0,0.266667,0.266667,415,375,D
02/05/2004,"Vitória","Figueirense",0.4,0.0666667,0.4,0.2,141,325,V
08/05/2004,"Guarani","AtléticoPR",0.133333,0.2,0.0666667,0.266667,143,345,E
08/05/2004,"Palmeiras","PontePreta",0.333333,0.2,0.4,0.266667,278,245,V
08/05/2004,"Paraná","Cruzeiro",0.6,0,0.266667,0.266667,309,375,V
08/05/2004,"Vasco","Grêmio",0.0666667,0.0666667,0.266667,0.133333,309,265,E
08/05/2004,"Santos","Juventude",0.4,0,0.266667,0,415,308,V
08/05/2004,"SãoCaetano","Criciúma",0.4,0.133333,0.266667,0.266667,287,110,V
09/05/2004,"AtléticoMG","Corinthians",0.133333,0.133333,0.2,0.0666667,267,358,E
09/05/2004,"Botafogo","Paysandu",0.133333,0,0.0666667,0.0666667,219,180,E
09/05/2004,"Coritiba","SãoPaulo",0.266667,0.133333,0.4,0.466667,220,431,D
09/05/2004,"Goiás","Figueirense",0.466667,0.2,0.4,0.2,344,325,V
09/05/2004,"Internacional","Fluminense",0.466667,0.0666667,0.266667,0.133333,371,340,E
09/05/2004,"Vitória","Flamengo",0.6,0.0666667,0.133333,0.0666667,141,321,V
15/05/2004,"AtléticoPR","Santos",0.266667,0.266667,0.4,0,345,415,V
15/05/2004,"Paysandu","Vasco",0.0666667,0.0666667,0.0666667,0.266667,180,309,D
16/05/2004,"Corinthians","Guarani",0.4,0.0666667,0.133333,0.2,358,143,V
16/05/2004,"Fluminense","Vitória",0.466667,0.133333,0.6,0.0666667,340,141,V
16/05/2004,"Criciúma","Goiás",0.466667,0.266667,0.466667,0.2,110,344,V
16/05/2004,"Cruzeiro","Palmeiras",0.466667,0.266667,0.333333,0.2,375,278,V
16/05/2004,"Figueirense","SãoCaetano",0.6,0.2,0.4,0.133333,325,287,V
16/05/2004,"Flamengo","Internacional",0.133333,0.0666667,0.466667,0.266667,321,371,D
16/05/2004,"Grêmio","Botafogo",0.333333,0.133333,0.133333,0.0666667,265,219,E
16/05/2004,"Juventude","AtléticoMG",0.333333,0,0.133333,0.2,308,267,E
16/05/2004,"PontePreta","Coritiba",0.466667,0.266667,0.266667,0.2,245,220,E
16/05/2004,"SãoPaulo","Paraná",0.466667,0.466667,0.6,0.0666667,431,309,E
22/05/2004,"Botafogo","Figueirense",0.2,0.0666667,0.6,0.266667,219,325,E
22/05/2004,"Coritiba","AtléticoMG",0.266667,0.2,0.133333,0.4,220,267,D
22/05/2004,"Internacional","Goiás",0.666667,0.266667,0.466667,0.2,371,344,V
22/05/2004,"Paysandu","Grêmio",0.0666667,0.0666667,0.333333,0.333333,180,265,D
23/05/2004,"Corinthians","AtléticoPR",0.4,0.0666667,0.266667,0.466667,358,345,D
23/05/2004,"Criciúma","Vitória",0.666667,0.266667,0.6,0.0666667,110,141,V
23/05/2004,"Cruzeiro","SãoPaulo",0.666667,0.266667,0.466667,0.466667,375,431,V
23/05/2004,"Flamengo","Fluminense",0.133333,0.0666667,0.466667,0.333333,321,340,D
23/05/2004,"Juventude","Guarani",0.533333,0,0.133333,0.2,308,143,V
23/05/2004,"Paraná","PontePreta",0.6,0.0666667,0.466667,0.466667,309,245,D
23/05/2004,"Santos","Palmeiras",0.4,0,0.333333,0.4,415,278,D
23/05/2004,"SãoCaetano","Vasco",0.6,0.133333,0.0666667,0.266667,287,309,V
